Genus_species,pic_location
Berghia_coerulescens,"Ancona, Italy"
Chromodoris_willani,"Anilao, Philippines"
Costasiella_kuroshimae,"Sumbawa, Indonesia"
Glaucus_atlanticus,"Nelson Bay, Australia"
Phidiana_militaris,"Perhentian, Malaysia"
Felimare_cantabrica,NA
Nembrotha_cristata,NA
Paraflabellina_ischitana,NA
Nembrotha_kubaryana,NA
Nembrotha_purpureolineata,NA
Hypselodoris_kanga,NA
Nembrotha_megalocera,NA
Flabellina_iodinea,NA
Goniobranchus_kuniei,NA
Chromodoris_annae,NA
Hexabranchus_sanguineus,NA
Phyllidia_varicosa,NA
Flabellina_affinis,NA
Hypselodoris_apolegma,NA
Thecacera_pacifica,NA
Ceratosoma_amoenum,NA
Hypselodoris_tryoni,NA
Hypselodoris_variobranchia,NA
Bornella_anguilla,NA
Phyllidia_ocellata,NA
Glossodoris_cincta,NA
Mexichromis_macropus,NA
Aegires_villosus,NA
Felimare_picta,NA
Janolus_savinkini,NA
Goniobranchus_geminus,NA
Polycera_quadrilineata,NA
Fjordia_lineata,NA
Hermissenda_crassicornis,NA
Ceratosoma_tenue,NA
Felimare_californiensis,NA
Tambja_verconis,NA
Hypselodoris_decorata,NA
Hypselodoris_infucata,NA
Tambja_blacki,NA
Hypselodoris_obscura,NA
Chromodoris_magnifica,NA
Caloria_militaris,NA
Chelidonura_mandroroa,NA
Goniobranchus_vibratus,NA
Goniobranchus_coi,NA
Tambja_sagamiana,NA
Hypselodoris_kaname,NA
Hypselodoris_nigrostriata,NA
Hypselodoris_krakatoa,NA
Goniobranchus_leopardus,NA
Goniobranchus_fidelis,NA
